,carat,price,cut__Fair,cut__Good,cut__Ideal,cut__Premium,cut__Very Good,color__D,color__E,color__F,color__G,color__H,color__I,color__J,clarity__I1,clarity__IF,clarity__SI1,clarity__SI2,clarity__VS1,clarity__VS2,clarity__VVS1,clarity__VVS2
0,-1.1982260986639597,326,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,-1.240440448500842,326,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,-1.1982260986639597,327,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,-1.0715830491533134,334,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,-1.0293686993164313,335,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,-1.1771189237455186,336,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,-1.1771189237455186,336,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,-1.1349045739086365,337,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8,-1.219333273582401,337,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,-1.1982260986639597,338,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,-1.0504758742348723,339,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11,-1.1982260986639597,340,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12,-1.219333273582401,342,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13,-1.0293686993164313,344,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
14,-1.261547623419283,345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15,-1.0082615243979902,345,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,-1.0504758742348723,348,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,-1.0504758742348723,351,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18,-1.0504758742348723,351,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
19,-1.0504758742348723,351,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
20,-1.0504758742348723,351,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,-1.1982260986639597,352,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,-1.1982260986639597,353,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,-1.0293686993164313,353,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,-1.0293686993164313,353,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
25,-1.1982260986639597,354,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26,-1.1771189237455186,355,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27,-1.0504758742348723,357,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28,-1.1982260986639597,357,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,-1.1982260986639597,357,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,-1.1982260986639597,402,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,-1.1982260986639597,402,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,-1.1982260986639597,402,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,-1.1982260986639597,402,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
34,-1.1982260986639597,402,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,-1.1982260986639597,402,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,-1.1982260986639597,402,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
37,-1.0293686993164313,402,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
38,-1.1349045739086365,403,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,-0.987154349479549,403,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
40,-0.987154349479549,403,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
41,-0.987154349479549,403,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
42,-1.1349045739086365,403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,-1.1349045739086365,403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,-1.0082615243979902,403,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
45,-1.0715830491533134,403,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
46,-1.0082615243979902,403,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47,-1.0082615243979902,403,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
48,-1.1560117488270776,404,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49,-1.0715830491533134,404,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50,-1.1771189237455186,404,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
51,-1.1982260986639597,404,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,-1.0082615243979902,404,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
53,-1.219333273582401,404,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
54,-1.219333273582401,404,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,-1.0504758742348723,405,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
56,-1.0504758742348723,405,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
57,-1.0504758742348723,405,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
