,carat,price,cut__Fair,cut__Good,cut__Ideal,cut__Premium,cut__Very Good,color__D,color__E,color__F,color__G,color__H,color__I,color__J,clarity__I1,clarity__IF,clarity__SI1,clarity__SI2,clarity__VS1,clarity__VS2,clarity__VVS1,clarity__VVS2
0,0.23,326,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.21,326,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0.23,327,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0.29,334,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,0.31,335,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,0.24,336,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,0.24,336,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,0.26,337,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8,0.22,337,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0.23,338,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,0.3,339,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11,0.23,340,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12,0.22,342,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13,0.31,344,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
14,0.2,345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15,0.32,345,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0.3,348,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,0.3,351,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18,0.3,351,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
19,0.3,351,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
20,0.3,351,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,0.23,352,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0.23,353,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,0.31,353,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,0.31,353,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
25,0.23,354,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26,0.24,355,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27,0.3,357,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28,0.23,357,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,0.23,357,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,0.23,402,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,0.23,402,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,0.23,402,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,0.23,402,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
34,0.23,402,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,0.23,402,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0.23,402,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
37,0.31,402,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
38,0.26,403,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,0.33,403,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
40,0.33,403,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
41,0.33,403,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
42,0.26,403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,0.26,403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,0.32,403,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
45,0.29,403,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
46,0.32,403,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47,0.32,403,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
48,0.25,404,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49,0.29,404,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50,0.24,404,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
51,0.23,404,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,0.32,404,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
53,0.22,404,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
54,0.22,404,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,0.3,405,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
56,0.3,405,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
57,0.3,405,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
58,0.3,405,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
59,0.3,405,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
60,0.35,552,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
61,0.3,552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,0.3,552,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,0.3,552,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,0.42,552,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
65,0.28,553,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
66,0.32,553,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
67,0.31,553,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
68,0.31,553,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
69,0.24,553,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
70,0.24,553,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,0.3,554,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
72,0.3,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
73,0.3,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
74,0.3,554,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
75,0.26,554,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
76,0.26,554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
77,0.26,554,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,0.26,554,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,0.26,554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
80,0.26,554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
81,0.26,554,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,0.26,554,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,0.38,554,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
84,0.26,554,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
85,0.24,554,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
86,0.24,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
87,0.24,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
88,0.24,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
89,0.32,554,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
90,0.7,2757,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
91,0.86,2757,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
92,0.7,2757,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
93,0.71,2759,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
94,0.78,2759,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
95,0.7,2759,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
96,0.7,2759,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
97,0.96,2759,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
98,0.73,2760,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
99,0.8,2760,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
100,0.75,2760,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0.75,2760,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
102,0.74,2760,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
103,0.75,2760,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
104,0.8,2760,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
105,0.75,2760,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
106,0.8,2760,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
107,0.74,2761,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
108,0.81,2761,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
109,0.59,2761,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,0.8,2761,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
111,0.74,2761,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
112,0.9,2761,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
113,0.74,2762,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
114,0.73,2762,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
115,0.73,2762,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
116,0.8,2762,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
117,0.71,2762,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
118,0.7,2762,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
119,0.8,2762,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
120,0.71,2762,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,0.74,2762,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
122,0.7,2762,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
123,0.7,2762,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
124,0.7,2762,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
125,0.7,2762,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
126,0.91,2763,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
127,0.61,2763,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,0.91,2763,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
129,0.91,2763,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
130,0.77,2763,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
131,0.71,2764,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,0.71,2764,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,0.7,2765,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
134,0.77,2765,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
135,0.63,2765,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
136,0.71,2765,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
137,0.71,2765,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
138,0.76,2765,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
139,0.64,2766,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
140,0.71,2766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
141,0.71,2766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
142,0.7,2767,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,0.7,2767,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
144,0.71,2767,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,0.7,2767,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
146,0.71,2768,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
147,0.73,2768,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,0.7,2768,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
149,0.7,2768,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
150,0.71,2768,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,0.74,2769,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
152,0.71,2770,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153,0.73,2770,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
154,0.76,2770,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
155,0.76,2770,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,0.71,2770,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
157,0.73,2770,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
158,0.73,2770,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
159,0.73,2770,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
160,0.73,2770,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
161,0.72,2771,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
162,0.73,2771,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
163,0.71,2771,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
164,0.79,2771,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
165,0.73,2772,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
166,0.8,2772,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
167,0.58,2772,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
168,0.58,2772,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
169,0.71,2772,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
170,0.75,2773,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
171,0.7,2773,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,1.17,2774,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
173,0.6,2774,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
174,0.7,2774,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
175,0.83,2774,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
176,0.74,2775,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
177,0.72,2776,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
178,0.71,2776,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
179,0.71,2776,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
180,0.54,2776,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
181,0.54,2776,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
182,0.72,2776,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
183,0.72,2776,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
184,0.72,2776,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
185,0.71,2776,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
186,0.7,2777,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,0.71,2777,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
188,0.71,2777,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
