carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,fluorescence,hasVisualization,id,imageUrl,lxwRatio,measurements,polish,price,pricePerCarat,sellingIndex,shapeCode,shapeName,skus,symmetry,table,v360BaseUrl,visualizationImageUrl,willArriveForHoliday
['1.00'],['VVS1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 27'],['Sep 30'],['62.4'],./diamond-details/LD12489150,['Faint'],[True],LD12489150,,['1.01'],"[{'label': '6.42 x 6.37 x 3.99 mm', 'labelSmall': '6.42 x 6.37 x 3.99'}]",['Excellent'],8388,"['$8,388']",0.43761176,['RD'],['Round'],['LD12489150'],['Excellent'],['59.0'],https://bluenile.v360.in/50/imaged/gia-2326374251/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2326374251/still_230x230.jpg,False
['1.00'],['VVS1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 27'],['Sep 30'],['59.3'],./diamond-details/LD12504430,['Faint'],[True],LD12504430,,['1.01'],"[{'label': '6.53 x 6.48 x 3.85 mm', 'labelSmall': '6.53 x 6.48 x 3.85'}]",['Excellent'],8388,"['$8,388']",0.4758186,['RD'],['Round'],['LD12504430'],['Excellent'],['61.0'],https://bluenile.v360.in/50/imaged/gia-2328731878/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2328731878/still_230x230.jpg,False
['1.00'],['VVS1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 25'],['Sep 26'],['60.7'],./diamond-details/LD12517354,['Faint'],[True],LD12517354,,['1.01'],"[{'label': '6.44 x 6.48 x 3.93 mm', 'labelSmall': '6.44 x 6.48 x 3.93'}]",['Excellent'],8388,"['$8,388']",0.47241554,['RD'],['Round'],['LD12517354'],['Excellent'],['60.0'],https://bluenile.v360.in/29/imaged/gia-6321844142/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6321844142/still_230x230.jpg,False
['0.91'],['VVS2'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 20'],['Sep 23'],['61.8'],./diamond-details/LD02474556,['None'],[True],LD02474556,,['1.00'],"[{'label': '6.22 x 6.20 x 3.84 mm', 'labelSmall': '6.22 x 6.20 x 3.84'}]",['Excellent'],8389,"['$9,219']",0.21264313,['RD'],['Round'],['LD02474556'],['Excellent'],['57.0'],https://bluenile.v360.in/1/imaged/gia-5141430551/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5141430551/still_230x230.jpg,False
['0.91'],['VVS1'],['F'],['Small'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 20'],['Sep 23'],['61.6'],./diamond-details/LD02995378,['None'],[True],LD02995378,,['1.00'],"[{'label': '6.22 x 6.20 x 3.82 mm', 'labelSmall': '6.22 x 6.20 x 3.82'}]",['Excellent'],8389,"['$9,219']",0.12582189,['RD'],['Round'],['LD02995378'],['Excellent'],['57.0'],https://bluenile.v360.in/1/imaged/gia-2151118206/2/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2151118206/still_230x230.jpg?v=2,False
['0.91'],['VVS2'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 26'],['Sep 27'],['61.8'],./diamond-details/LD07786972,['None'],[False],LD07786972,,['1.01'],"[{'label': '6.20 x 6.24 x 3.84 mm', 'labelSmall': '6.20 x 6.24 x 3.84'}]",['Excellent'],8389,"['$9,219']",0.11497893,['RD'],['Round'],['LD07786972'],['Excellent'],['59.0'],,,False
['1.01'],['VVS2'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 26'],['Sep 27'],['62.6'],./diamond-details/LD12583032,['None'],[True],LD12583032,,['1.01'],"[{'label': '6.41 x 6.36 x 4.00 mm', 'labelSmall': '6.41 x 6.36 x 4.00'}]",['Excellent'],8389,"['$8,306']",0.3804305,['RD'],['Round'],['LD12583032'],['Excellent'],['59.0'],https://bluenile.v360.in/50/imaged/gia-5323986928/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5323986928/still_230x230.jpg,False
['1.01'],['VVS2'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 26'],['Sep 27'],['61.5'],./diamond-details/LD12684804,['None'],[False],LD12684804,,['1.01'],"[{'label': '6.46 x 6.42 x 3.96 mm', 'labelSmall': '6.46 x 6.42 x 3.96'}]",['Excellent'],8389,"['$8,306']",0.23453498,['RD'],['Round'],['LD12684804'],['Excellent'],['60.0'],,,False
['1.01'],['VVS2'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 26'],['Sep 27'],['62.8'],./diamond-details/LD12798302,['None'],[True],LD12798302,,['1.01'],"[{'label': '6.40 x 6.36 x 4.00 mm', 'labelSmall': '6.40 x 6.36 x 4.00'}]",['Excellent'],8389,"['$8,306']",0.37198585,['RD'],['Round'],['LD12798302'],['Excellent'],['57.0'],https://bluenile.v360.in/50/imaged/gia-5333353832/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5333353832/still_230x230.jpg,False
['1.01'],['VS1'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 27'],['Sep 30'],['62.5'],./diamond-details/LD12823577,['None'],[True],LD12823577,,['1.00'],"[{'label': '6.37 x 6.40 x 3.99 mm', 'labelSmall': '6.37 x 6.40 x 3.99'}]",['Excellent'],8389,"['$8,306']",0.15248713,['RD'],['Round'],['LD12823577'],['Excellent'],['56.0'],https://bluenile.v360.in/50/imaged/gia-6335461463/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6335461463/still_230x230.jpg,False
