carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,fluorescence,hasVisualization,id,imageUrl,lxwRatio,measurements,polish,price,pricePerCarat,sellingIndex,shapeCode,shapeName,skus,symmetry,table,v360BaseUrl,visualizationImageUrl,willArriveForHoliday
['10.08'],['VS1'],['F'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['Sep 17'],['Sep 18'],['60.2'],./diamond-details/LD12210514,['Faint'],[False],LD12210514,,['1.01'],"[{'label': '13.97 x 14.04 x 8.44 mm', 'labelSmall': '13.97 x 14.04 x 8.44'}]",['Excellent'],500559,"['$49,659']",0.0030392811,['RD'],['Round'],['LD12210514'],['Excellent'],['59.0'],,,False
['13.26'],['VS1'],['H'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 12'],['Sep 13'],['60.0'],./diamond-details/LD12736453,['Medium'],[False],LD12736453,,['1.00'],"[{'label': '15.40 x 15.34 x 9.22 mm', 'labelSmall': '15.40 x 15.34 x 9.22'}]",['Excellent'],502019,"['$37,860']",0.0009618592,['RD'],['Round'],['LD12736453'],['Excellent'],['60.0'],,,False
['6.01'],['FL'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['61.9'],./diamond-details/LD11903129,['None'],[False],LD11903129,,['1.01'],"[{'label': '11.64 x 11.70 x 7.22 mm', 'labelSmall': '11.64 x 11.70 x 7.22'}]",['Excellent'],502559,"['$83,620']",0.0015386378,['RD'],['Round'],['LD11903129'],['Excellent'],['54.0'],,,False
['10.07'],['SI1'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 16'],['Sep 17'],['62.5'],./diamond-details/LD12048656,['Faint'],[True],LD12048656,,['1.01'],"[{'label': '13.66 x 13.74 x 8.56 mm', 'labelSmall': '13.66 x 13.74 x 8.56'}]",['Excellent'],502665,"['$49,917']",0.0030168493,['RD'],['Round'],['LD12048656'],['Excellent'],['58.0'],https://bluenile.v360.in/29/imaged/gia-5202098629/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5202098629/still_230x230.jpg,False
['5.16'],['FL'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 12'],['Sep 13'],['60.8'],./diamond-details/LD12400529,['None'],[True],LD12400529,,['1.01'],"[{'label': '11.26 x 11.17 x 6.82 mm', 'labelSmall': '11.26 x 11.17 x 6.82'}]",['Excellent'],509762,"['$98,791']",0.00083394913,['RD'],['Round'],['LD12400529'],['Excellent'],['58.0'],https://bluenile.v360.in/61/imaged/gia-2201234479/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2201234479/still_230x230.jpg,False
['7.55'],['VVS1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['60.1'],./diamond-details/LD10964052,['None'],[True],LD10964052,,['1.00'],"[{'label': '12.71 x 12.77 x 7.65 mm', 'labelSmall': '12.71 x 12.77 x 7.65'}]",['Excellent'],514773,"['$68,182']",0.0041068858,['RD'],['Round'],['LD10964052'],['Excellent'],['60.0'],https://bluenile.v360.in/62/imaged/gia-2185763676/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2185763676/still_230x230.jpg,False
['5.84'],['FL'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['61.1'],./diamond-details/LD12871467,['None'],[False],LD12871467,,['1.00'],"[{'label': '11.61 x 11.56 x 7.08 mm', 'labelSmall': '11.61 x 11.56 x 7.08'}]",['Excellent'],527640,"['$90,349']",0.0015386378,['RD'],['Round'],['LD12871467'],['Excellent'],['57.0'],,,False
['8.28'],['VS2'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 18'],['Sep 19'],['61.8'],./diamond-details/LD12802827,['None'],[True],LD12802827,,['1.00'],"[{'label': '12.89 x 12.95 x 7.99 mm', 'labelSmall': '12.89 x 12.95 x 7.99'}]",['Excellent'],536862,"['$64,838']",0.003748696,['RD'],['Round'],['LD12802827'],['Excellent'],['58.0'],https://bluenile.v360.in/7/imaged/gia-2201420570/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2201420570/still_230x230.jpg,False
['20.97'],['SI2'],['I'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['60.6'],./diamond-details/LD00067112,['Strong'],[True],LD00067112,,['1.00'],"[{'label': '17.83 x 17.89 x 10.83 mm', 'labelSmall': '17.83 x 17.89 x 10.83'}]",['Excellent'],554659,"['$26,450']",0.0002901924,['RD'],['Round'],['LD00067112'],['Excellent'],['60.0'],https://bluenile.v360.in/62/imaged/gia-2181933547/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2181933547/still_230x230.jpg,False
['6.80'],['FL'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['61.7'],./diamond-details/LD11953959,['None'],[False],LD11953959,,['1.00'],"[{'label': '12.09 x 12.15 x 7.48 mm', 'labelSmall': '12.09 x 12.15 x 7.48'}]",['Excellent'],574121,"['$84,430']",0.0016398496,['RD'],['Round'],['LD11953959'],['Excellent'],['57.0'],,,False
