i=0,cost=3871290,A=0.135457,B=-1175.059072
i=1,cost=2672945,A=0.851485,B=-192.217064
i=2,cost=1846896,A=0.255257,B=-1001.816037
i=3,cost=1277474,A=0.748530,B=-323.272384
i=4,cost=884947,A=0.337256,B=-880.275431
i=5,cost=614355,A=0.676985,B=-411.494592
i=6,cost=427815,A=0.393204,B=-794.389073
i=7,cost=299211,A=0.627094,B=-470.206945
i=8,cost=210544,A=0.431197,B=-733.094723
i=9,cost=149406,A=0.592135,B=-508.593150
i=10,cost=107243,A=0.456818,B=-688.766986
i=11,cost=78162,A=0.567472,B=-532.983496
i=12,cost=58096,A=0.473916,B=-656.149510
i=13,cost=44246,A=0.549910,B=-547.741387
i=14,cost=34680,A=0.485142,B=-631.618944
i=15,cost=28068,A=0.537248,B=-555.874443
i=16,cost=23492,A=0.492326,B=-612.677579
i=17,cost=20319,A=0.527966,B=-559.455729
i=18,cost=18114,A=0.496726,B=-597.603615
i=19,cost=16576,A=0.521019,B=-559.914118
i=20,cost=15497,A=0.499212,B=-585.210098
i=21,cost=14736,A=0.515685,B=-558.234436
i=22,cost=14194,A=0.500382,B=-574.678745
i=23,cost=13803,A=0.511468,B=-555.095426
i=24,cost=13516,A=0.500650,B=-565.445402
i=25,cost=13301,A=0.508023,B=-550.964844
i=26,cost=13135,A=0.500299,B=-557.121091
i=27,cost=13004,A=0.505115,B=-546.165017
i=28,cost=12897,A=0.499526,B=-549.437582
i=29,cost=12806,A=0.502581,B=-540.918020
i=30,cost=12727,A=0.498465,B=-542.209877
i=31,cost=12656,A=0.500309,B=-535.376832
i=32,cost=12590,A=0.497210,B=-535.310356
i=33,cost=12529,A=0.498220,B=-529.646799
i=34,cost=12470,A=0.495825,B=-528.650948
i=35,cost=12414,A=0.496263,B=-523.800436
i=36,cost=12359,A=0.494354,B=-522.170843
i=37,cost=12305,A=0.494399,B=-517.887627
i=38,cost=12252,A=0.492827,B=-515.828026
i=39,cost=12201,A=0.492604,B=-511.942660
i=40,cost=12149,A=0.491266,B=-509.593435
i=41,cost=12098,A=0.490859,B=-505.989070
i=42,cost=12048,A=0.489685,B=-503.446939
i=43,cost=11998,A=0.489153,B=-500.042980
i=44,cost=11949,A=0.488094,B=-497.374564
i=45,cost=11900,A=0.487478,B=-494.115409
i=46,cost=11851,A=0.486499,B=-491.366582
i=47,cost=11803,A=0.485827,B=-488.213855
i=48,cost=11755,A=0.484906,B=-485.416189
i=49,cost=11708,A=0.484197,B=-482.343389
i=50,cost=11661,A=0.483317,B=-479.518601
i=51,cost=11614,A=0.482584,B=-476.507413
i=52,cost=11567,A=0.481735,B=-473.670423
i=53,cost=11521,A=0.480987,B=-470.708177
i=54,cost=11475,A=0.480160,B=-467.869223
i=55,cost=11430,A=0.479405,B=-464.947136
i=56,cost=11385,A=0.478595,B=-462.113230
i=57,cost=11340,A=0.477836,B=-459.225203
i=58,cost=11296,A=0.477040,B=-456.401130
i=59,cost=11251,A=0.476279,B=-453.542911
i=60,cost=11208,A=0.475494,B=-450.731926
i=61,cost=11164,A=0.474735,B=-447.900540
i=62,cost=11121,A=0.473960,B=-445.104838
i=63,cost=11078,A=0.473202,B=-442.298188
i=64,cost=11035,A=0.472435,B=-439.519238
i=65,cost=10993,A=0.471682,B=-436.735833
i=66,cost=10951,A=0.470922,B=-433.974602
i=67,cost=10909,A=0.470172,B=-431.213370
i=68,cost=10868,A=0.469419,B=-428.470481
i=69,cost=10827,A=0.468674,B=-425.730638
i=70,cost=10786,A=0.467927,B=-423.006476
i=71,cost=10746,A=0.467186,B=-420.287437
i=72,cost=10706,A=0.466445,B=-417.582222
i=73,cost=10666,A=0.465710,B=-414.883541
i=74,cost=10626,A=0.464975,B=-412.197381
i=75,cost=10587,A=0.464244,B=-409.518707
